mat.,status,V,K1,K2,1.rok
243106335, RED ,80,70,90,
83216599, RED ,90,90,95,
243106704, IZV ,,,,
55451532, RED ,,,,
243106730, IZV ,,,,
55474796, IZV ,50,0,0,
243106751, IZV ,50,0,0,20
177051168, RED ,80,50,45,
243106202, RED ,50,15,45,60
177053232, RED ,90,80,90,
23095265, IZV ,50,,,100
55474803, IZV ,50,,,
243096506, IZV ,,,0,
243102133, RED ,,0,,
37368, IZV ,50,50,40,
243106270, RED ,90,80,65,
18112205, IZV ,,0,0,
38712, IZV ,50,,0,
177045340, IZV ,65,20,15,
243101568, RED ,,,,
38807, IZV ,65,40,40,
243095834, IZV ,50,,,
32437, IZV ,50,,,
23107244, IZV ,,,,
243095626, IZV ,,,,
243095946, IZV ,50,0,,0
243106954, IZV ,50,0,0,35
38673, IZV ,,,,
23087305, IZV ,,,,
243096595, IZV ,65,,,
36771, IZV ,75,,,
23111959, IZV ,90,78,75,
243106265, RED ,,20,,
243106111, RED ,50,,,
177050300, RED ,60,40,0,60
243099737, RED ,50,0,,
243096179, IZV ,50,,,0
171247629, IZV ,,,,
177051334, RED ,,,,
243106660, IZV ,60,30,55,70
243100581, RED ,50,,,
243107402, RED ,,,,
243106793, IZV ,,,,
23115302, RED ,60,58,,75
23122613, RED ,100,75,100,
33667, IZV ,,,,
243106725, IZV ,,,,
130263508, IZV ,,,,
243107444, IZV ,,,,
243099186, RED ,50,60,25,50
37829, IZV ,,,,
243100716, RED ,,,,
243106697, IZV ,,,,
23118421, RED ,,,,
243100833, RED ,50,40,,0
243099508, RED ,50,,,
177051446, RED ,55,40,50,
16125503, IZV ,60,55,50,
1219027443, IZV ,50,,,
243087916, IZV ,,,,
243106405, RED ,100,83,45,100
243106543, RED ,,,,
243102432, RED ,55,0,,
243106148, RED ,,,,
243106452, RED ,,,,
177044983, IZV ,100,50,50,
243106174, RED ,80,100,0,75
23112288, IZV ,,,,
243106468, RED ,50,,,
37846, IZV ,50,20,,
243106410, RED ,,,,
38811, IZV ,50,15,0,55
55440878, RED ,60,58,,
315006660, IZV ,,,,
243106356, RED ,,,,
34877, IZV ,,,,
38806, IZV ,75,40,20,50
23116843, IZV ,,,,
243106195, RED ,,,,
177038984, IZV ,,,,
67477043, IZV ,,,,
38796, IZV ,50,47,40,
243106494, RED ,90,97,75,
243100630, RED ,,0,,
243096046, IZV ,,,,
55477046, IZV ,,,,
1219057149, IZV ,,,,
23118229, IZV ,,,,
23115708, RED ,80,70,,50
269088401, IZV ,,,,
37398, IZV ,,,,
243106309, RED ,85,100,88,
35710, IZV ,,,,
243095876, IZV ,,,,
243106244, RED ,60,75,65,
177042882, IZV ,50,,,
177044796, IZV ,,,,
243106431, RED ,50,,,
243106863, IZV ,,,,
243095790, IZV ,50,15,0,50
243106842, IZV ,,,,
243106382, RED ,70,,,
243106975, IZV ,,,,
243106377, RED ,,,,
37568, IZV ,,5,,
37355, IZV ,,,,
177044317, IZV ,,,,
243106426, RED ,,,,
23113077, IZV ,50,45,0,48
37852, IZV ,55,,,
243064783, IZV ,60,,,
23107057, IZV ,50,20,,
243095418, IZV ,50,40,0,
11155194, IZV ,,,,
177053760, RED ,85,95,,80
243102341, RED ,,,,
243106314, RED ,,,,
23081198, RED ,90,80,75,
243099924, IZV ,50,0,,0
243106106, RED ,,,,
243106816, IZV ,,,,
243096228, IZV ,50,,,
243106218, RED ,,,,
177045309, IZV ,,,,
243098815, IZV ,,,,
177045202, RED ,60,,,
243095743, IZV ,50,0,,
38813, IZV ,,,,
2033109187, RED ,100,87,90,
243106169, RED ,90,80,60,95
243096212, IZV ,70,45,65,
243106340, RED ,50,5,,0
37526, IZV ,60,50,60,
243106473, RED ,,,,
18134622, IZV ,,,,
243106489, RED ,,,,
23117076, RED ,50,,,
243102063, IZV ,,,,
243107993, IZV ,,,,
243101755, IZV ,,,,
243106928, RED ,,,,
177048017, RED ,65,50,,50
243099560, RED ,,,,
177052282, RED ,60,30,50,55
23096241, RED ,,0,,
269077698, IZV ,,,,
11165743, IZV ,50,,0,
38809, IZV ,50,50,0,0
177052513, RED ,,,,
177051313, RED ,60,40,65,
38803, IZV ,,,,
243095673, IZV ,50,45,0,0
243102955, IZV ,,30,,
243106564, RED ,60,55,56,
243098836, IZV ,,,,
243106286, RED ,,,,
23123561, IZV ,50,0,,50
55478566, RED ,,,,
243096296, IZV ,50,30,,
243106884, IZV ,,,,
243106153, RED ,,,,
171265449, RED ,,,,
35679, IZV ,,,,
243102128, RED ,,,,
243095353, IZV ,50,25,0,
23113243, IZV ,,,,
32720, IZV ,50,10,0,
243095647, IZV ,50,20,20,
38814, IZV ,50,0,0,
243106132, RED ,50,40,0,50
18117077, IZV ,,,,
243100555, RED ,70,60,52,
243089627, IZV ,,,,
23117055, RED ,50,40,,75
243096371, IZV ,,25,,
63025008, RED ,60,60,75,
243106447, RED ,70,65,60,
243106767, IZV ,,,,
243106291, RED ,50,25,,50
177041357, IZV ,,,,
177051131, RED ,80,85,,70
243099604, RED ,70,95,65,
243106127, RED ,80,95,70,
243106933, IZV ,,,,
36802, IZV ,,,,
55464985, RED ,,,,
23116448, RED ,,,,
177047436, IZV ,50,0,0,
18136861, RED ,,,,
243095694, IZV ,,,,
23113883, IZV ,50,,,50
243106223, RED ,55,62,45,
243106398, RED ,,,,
243106239, RED ,,,,
23115120, RED ,90,62,,75
