mat.,status,V,1.rok,K1,K2,status2
243106335, RED ,80,,70,90,80.0
83216599, RED ,90,,90,95,92.0
243106704, IZV ,,,,,nopp
55451532, RED ,,,,,nopp
243106730, IZV ,,,,,nopp
55474796, IZV ,50,,0,0,1
243106751, IZV ,50,20,0,0,1
177051168, RED ,80,,50,45,54.0
243106202, RED ,50,60,15,45,34.0
177053232, RED ,90,,80,90,86.0
23095265, IZV ,50,100,,,90.0
55474803, IZV ,50,,,,1
243096506, IZV ,,,,0,nopp
243102133, RED ,,,0,,nopp
37368, IZV ,50,,50,40,46.0
243106270, RED ,90,,80,65,76.0
18112205, IZV ,,,0,0,nopp
38712, IZV ,50,,,0,1
177045340, IZV ,65,,20,15,1
243101568, RED ,,,,,nopp
38807, IZV ,65,,40,40,45.0
243095834, IZV ,50,,,,1
32437, IZV ,50,,,,1
23107244, IZV ,,,,,nopp
243095626, IZV ,,,,,nopp
243095946, IZV ,50,0,0,,1
243106954, IZV ,50,35,0,0,1
38673, IZV ,,,,,nopp
23087305, IZV ,,,,,nopp
243096595, IZV ,65,,,,1
36771, IZV ,75,,,,1
23111959, IZV ,90,,78,75,79.2
243106265, RED ,,,20,,nopp
243106111, RED ,50,,,,1
177050300, RED ,60,60,40,0,28.0
243099737, RED ,50,,0,,1
243096179, IZV ,50,0,,,1
171247629, IZV ,,,,,nopp
177051334, RED ,,,,,nopp
243106660, IZV ,60,70,30,55,46.0
243100581, RED ,50,,,,1
243107402, RED ,,,,,nopp
243106793, IZV ,,,,,nopp
23115302, RED ,60,75,58,,72.0
23122613, RED ,100,,75,100,90.0
33667, IZV ,,,,,nopp
243106725, IZV ,,,,,nopp
130263508, IZV ,,,,,nopp
243107444, IZV ,,,,,nopp
243099186, RED ,50,50,60,25,44.0
37829, IZV ,,,,,nopp
243100716, RED ,,,,,nopp
243106697, IZV ,,,,,nopp
23118421, RED ,,,,,nopp
243100833, RED ,50,0,40,,1
243099508, RED ,50,,,,1
177051446, RED ,55,,40,50,47.0
16125503, IZV ,60,,55,50,54.0
1219027443, IZV ,50,,,,1
243087916, IZV ,,,,,nopp
243106405, RED ,100,100,83,45,71.2
243106543, RED ,,,,,nopp
243102432, RED ,55,,0,,1
243106148, RED ,,,,,nopp
243106452, RED ,,,,,nopp
177044983, IZV ,100,,50,50,60.0
243106174, RED ,80,75,100,0,56.0
23112288, IZV ,,,,,nopp
243106468, RED ,50,,,,1
37846, IZV ,50,,20,,1
243106410, RED ,,,,,nopp
38811, IZV ,50,55,15,0,54.0
55440878, RED ,60,,58,,1
315006660, IZV ,,,,,nopp
243106356, RED ,,,,,nopp
34877, IZV ,,,,,nopp
38806, IZV ,75,50,40,20,39.0
23116843, IZV ,,,,,nopp
243106195, RED ,,,,,nopp
177038984, IZV ,,,,,nopp
67477043, IZV ,,,,,nopp
38796, IZV ,50,,47,40,44.8
243106494, RED ,90,,97,75,86.80000000000001
243100630, RED ,,,0,,nopp
243096046, IZV ,,,,,nopp
55477046, IZV ,,,,,nopp
1219057149, IZV ,,,,,nopp
23118229, IZV ,,,,,nopp
23115708, RED ,80,50,70,,56.0
269088401, IZV ,,,,,nopp
37398, IZV ,,,,,nopp
243106309, RED ,85,,100,88,92.2
35710, IZV ,,,,,nopp
243095876, IZV ,,,,,nopp
